Name,ID Number,Phone Number,Role,Company,Work Location,Years of Experience,Shift,Active Status,Country,Mostly Used Gate,Most Congested Gate (Per Driver)
Justin Davis,80271293,350.328.2485x58791,Port Security,Maersk,Lamu,17,Night,Active,Rwanda,Gate 18,Gate 9/10
Trevor Brandt,16105899,(252)016-3414,Logistics Officer,Maersk,Naivasha,25,Rotational,Active,Tanzania,Gate 9/10,Gate 9/10
Vanessa Smith,19950119,+1-813-397-6300,Truck Driver,African Cargo,Mombasa,13,Day,Inactive,DR Congo,Gate 1,Gate 24
Gary Martin,63373951,(322)819-9813x818,Port Security,African Cargo,Eldoret,5,Night,Active,Rwanda,Gate 1,Gate 9/10
Stacey Wilson,46540362,004-125-1421,Clearing Agent,Transpares,Lamu,15,Rotational,Active,South Sudan,Gate 24,Gate 24
Michael Graves,17265967,+1-005-322-1184x7534,Clearing Agent,Transpares,Lamu,10,Night,Active,Kenya,Gate 9/10,Gate 9/10
Roy Butler,59654394,(584)268-1516x447,Truck Driver,Maersk,Eldoret,6,Rotational,Inactive,DR Congo,Gate 1,Gate 24
Justin Mitchell,73472068,001-469-523-7710x33373,Truck Driver,Mitchell Cotts,Naivasha,20,Day,Active,Rwanda,Gate 1,Gate 24
Mr. Spencer Green,92406213,(421)213-2041,Logistics Officer,Mitchell Cotts,Eldoret,15,Rotational,Inactive,Uganda,Gate 1,Gate 9/10
Erin Murphy,87168472,793-366-3353x159,Logistics Officer,Siginon,Eldoret,13,Day,Active,Rwanda,Gate 18,Gate 9/10
Sherry Brown,84559093,+1-746-140-1813x444,Cargo Handler,African Cargo,Eldoret,2,Night,Active,Uganda,Gate 1,Gate 9/10
Robert Miller,47069624,174.229.9852,Port Security,Siginon,Eldoret,10,Rotational,Inactive,South Sudan,Gate 9/10,Gate 9/10
Alison Gomez,31927215,+1-859-231-6334x875,Truck Driver,KPA,Mombasa,8,Night,Active,Rwanda,Gate 9/10,Gate 9/10
Renee Ramirez,80945928,001-258-866-2614x502,Cargo Handler,Maersk,Lamu,7,Night,Active,DR Congo,Gate 1,Gate 9/10
Jordan Walker,51904154,(691)632-6917x9826,Truck Driver,African Cargo,Nairobi,23,Day,Inactive,Rwanda,Gate 1,Gate 24
